u,v,color
0,1,2,0
0,2,0,2
0,3,0,2
0,4,2,0
0,5,0,2
0,6,0,2
0,7,2,0
0,8,0,2
0,9,2,0
0,10,2,0
0,11,2,0
0,12,2,0
0,13,2,0
0,14,0,2
0,15,2,0
0,16,0,2
0,17,0,2
0,18,0,2
0,19,2,0
0,20,2,0
0,21,2,0
0,22,0,2
0,23,0,2
0,24,0
0,25,0,2
0,26,0,2
0,27,2,0
0,28,2,0
0,29,0,2
0,30,0,2
0,31,2,0
0,32,2,0
0,33,2,0
0,34,2,0
0,35,0,2
0,36,2,0
0,37,0,2
0,38,0,2
28,32,1,2,0
28,33,0,1,2
28,34,0,1,2
28,73,0
28,35,0,2,1
28,36,0,2,1
28,55,2,0,1
28,37,1,0,2
28,38,2,1,0
28,57,0,2,1
30,74,0
30,2,2,0,1
30,3,1,2,0
30,46,2,0,1
30,39,2,0,1
30,75,0
30,76,0
30,40,0
30,77,0
30,4,1,0,2
30,41,1,2,0
30,78,0
30,79,0
30,80,0
30,42,2,1
30,7,2,1,0
30,8,0,2,1
30,9,2,1,0
30,81,0
30,10,2,0,1
30,11,0,2,1
30,12,0,2,1
30,13,1,2,0
30,14,2,1,0
30,15,0,2,1
30,16,0,2,1
30,17,0,2,1
30,18,1,2,0
30,19,0,1,2
30,20,1,0,2
30,21,1,0,2
30,22,0,1,2
30,23,1,0,2
30,82,0
30,83,0
30,84,0
30,85,0
30,26,1,0,2
30,27,2,0,1
30,86,0
30,29,1,0,2
30,87,0
30,31,0,2,1
30,32,0,1,2
30,88,0
30,33,2,0,1
30,34,0,1,2
30,35,0,2,1
30,89,0
30,36,2,1,0
30,55,0,1,2
30,37,1,2,0
30,38,0,2,1
30,57,0,1,2
90,91,0
90,92,0
90,93,0
90,94,0
90,95,0
91,3,3
91,96,0
91,97,0
91,98,2
91,99,3
91,100,0
91,8,3
91,101,3
91,11,0,3,5,1
91,102,3
91,103,3
91,104,3
91,105,0
91,106,2,0
91,107,0
91,70,0
91,108,0
91,109,2
91,92,0
91,93,0
91,110,0
92,97,0
92,105,0
92,108,0
92,94,0
92,95,0
93,97,0
93,111,0
93,105,0
93,108,0
93,94,0
93,95,0
94,3,3
94,96,0
94,97,0
94,98,2
94,99,3
94,100,0
94,8,3
94,101,3
94,11,3,1,5,0
94,102,3
94,103,3
94,104,3
94,105,0
94,106,2,0
94,107,0
94,70,0
94,108,0
94,109,2
94,110,0
95,3,3
95,96,0
95,97,0
95,98,2
95,99,3
95,100,0
95,8,3
95,101,3
95,11,1,3,0,5
95,102,3
95,103,3
95,104,3
95,105,0
95,106,2,0
95,107,0
95,70,0
95,108,0
95,109,2
95,110,0
112,113,0
112,114,0
112,115,0
112,116,0
113,117,0
113,118,0
113,114,0
113,119,0
113,120,0
113,115,0
113,116,0
114,121,0
114,59,2,1,6,0
114,47,2,0
114,75,1,2,0
114,76,0,1,2
114,122,1,2,0
114,80,0,1,2
114,119,0
114,123,0
114,124,0
114,125,0
114,115,0
114,87,2,1,0
114,126,0
114,116,0
115,127,0
115,128,0
115,117,0
115,129,0
115,130,0
115,131,0
115,132,0
115,133,0
115,134,0
115,119,0
115,135,0
115,123,0
115,124,0
115,125,0
115,120,0
115,136,0
115,137,0
115,126,0
115,138,0
116,127,0
116,128,0
116,117,0
116,118,0
116,129,0
116,130,0
116,131,0
116,132,0
116,133,0
116,134,0
116,119,0
116,135,0
116,123,0
116,124,0
116,125,0
116,120,0
116,136,0
116,137,0
116,126,0
116,138,0
139,74,2
139,129,0
139,140,0
139,141,2
139,142,2
139,143,2
139,144,0,2
139,145,0
139,100,0
139,146,0
139,147,0
139,148,0
139,149,0
139,64,2
139,150,0
139,151,2
139,152,0
139,153,2
139,154,0
139,155,0
139,156,0
139,157,0
158,74,0
158,159,1,0,2
158,98,0,1,2
158,160,0
158,161,1,0,2
158,162,0
158,163,0
158,44,2,0,1
158,164,1,0,2
158,165,1
158,166,1,0,2
158,167,1,0,2
158,168,1,0,2
158,169,0,2,1
158,170,5
171,74,5,6
171,172,0
171,173,0
171,75,0
171,60,5,6,0
171,76,0
171,174,0
171,175,0
171,176,0
171,177,0
171,178,0
171,80,0
171,179,0
171,134,0
171,180,0,1
171,181,0
171,182,0
171,62,0,5,6
171,183,0
171,184,0
171,185,0
171,63,0,5,6
171,186,0
171,65,0,6,5
171,66,6,0,5
171,187,0
171,87,0
171,67,0,6,5
171,68,6,5,0
171,188,0
46,74,2
46,2,0,2,1
46,3,2,0,1
46,39,0
46,47,0
46,189,0
46,190,0,2
46,60,2
46,4,1,0,2
46,191,0,2
46,192,3
46,99,2
46,7,1,2,0
46,161,2,1,0
46,8,1,0,2
46,101,2
46,9,2,0,1
46,10,1,0,2
46,193,2
46,11,2,1,0
46,194,2
46,195,2
46,102,2
46,12,2,0,1
46,61,2,0
46,13,2,1,0
46,196,2
46,103,2
46,197,2
46,14,0,2,1
46,198,2
46,15,0,2,1
46,104,2
46,16,0,2,1
46,199,2
46,17,0,1,2
46,18,2,0,1
46,19,0,2,1
46,20,2,0,1
46,21,0,2,1
46,22,2,1,0
46,23,2,0,1
46,107,0,1,2
46,200,0
46,201,1
46,70,2,0,1
46,164,0,1,2
46,62,5,2
46,166,2,0,1
46,167,1,0,2
46,202,0
46,203,3
46,71,0,2,1
46,204,0,1,2
46,63,2
46,65,2
46,66,2,5
46,26,0,1,2
46,27,1,0,2
46,29,0,1,2
46,54,0,2
46,67,2
46,68,2
46,31,2,1,0
46,32,1,2,0
46,33,0,1,2
46,34,2,0,1
46,35,2,1,0
46,205,0
46,206,2
46,36,1,2,0
46,56,2,0
46,37,1,2,0
46,38,0,2,1
207,74,2
207,59,0
207,3,0
207,208,0,2
207,47,0
207,75,1,2
207,60,1,2
207,209,0
207,76,2,1
207,210,0
207,211,2
207,141,2
207,122,1
207,80,2,1
207,194,0
207,17,0
207,212,0
207,213,2
207,214,1
207,70,2
207,164,2
207,62,1,2
207,215,1
207,216,1
207,71,2
207,63,1,2
207,64,0
207,217,1
207,218,1
207,219,0,2
207,220,2
207,65,2,1
207,66,1,2
207,151,2
207,87,2,1
207,67,1,2
207,68,1,2
207,221,1
207,222,1
207,223,0
224,74,6,5
224,225,2
224,226,0
224,169,0
47,74,2
47,227,2
47,127,0
47,228,0
47,2,0
47,3,0
47,229,0
47,230,0
47,60,5,2
47,209,0
47,231,0
47,232,0
47,77,2
47,4,0
47,141,2
47,192,2
47,233,3
47,142,2
47,143,2
47,144,2
47,234,0
47,99,0
47,235,0
47,236,0
47,10,0
47,11,0
47,194,0
47,195,0
47,102,0
47,13,0
47,14,0
47,198,0
47,15,0
47,104,0
47,16,0
47,199,0
47,17,0
47,18,0
47,19,0
47,21,0
47,237,0
47,238,0
47,212,0
47,164,0
47,62,2,5
47,239,3
47,240,2
47,203,2
47,241,1,2,0
47,71,0,2,1
47,204,0,3
47,63,2,5
47,64,2
47,242,0
47,65,2,5
47,66,5,2
47,151,2
47,243,0
47,153,2
47,244,2
47,67,2,5
47,68,5,2
47,34,0
47,156,0
47,55,0
47,57,0
245,74,3,5,0
245,159,0
245,246,4,3,5,0,6,2
245,247,3,4,0,5,2,6
245,248,5,0,3
245,161,0
245,83,3,5,0
245,44,0
245,213,0
245,249,2,0,5,3,6,4
245,250,3,5
245,251,6,0
245,252,0
245,166,0
245,167,0
245,253,0
245,244,0
245,254,3,2,4,0,5,6
60,74,5,3,2
60,255,0
60,59,5,0,1,3,2,6
60,256,0,5,2,1
60,159,3
60,229,0
60,208,1,2
60,257,0
60,258,0
60,75,5,6,3,2
60,98,3
60,76,2,3,6,5
60,259,5,3
60,260,5,3
60,261,0
60,262,5,6,0
60,192,2
60,142,2
60,263,1,5,3,0,2
60,264,0
60,265,3,5
60,266,0
60,267,2
60,80,6,2,3,5
60,51,0
60,104,5
60,268,6,0
60,107,3
60,269,1,0,2
60,270,0
60,213,2,0
60,271,1,2,0
60,70,0,3
60,123,0
60,164,2
60,272,5,0,6
60,273,1
60,62,0,5
60,165,5
60,274,1,0,3,6,2,5
60,167,3
60,240,2
60,185,0
60,275,0
60,276,0
60,277,0,6,5
60,278,6,0,5
60,203,2
60,71,2,0
60,204,6,5,0,1,2
60,279,3,5
60,280,6,1,2,5,0,3
60,66,5,0
60,87,2,3,6,5
60,281,3,5
60,282,0,6
60,283,3,5
60,55,2
60,284,3
60,57,2
231,74,0
231,285,0
231,286,0
231,287,0
231,209,0
231,288,0
231,210,2,0
231,289,0
231,141,0
231,142,0
231,290,0
231,144,0
231,291,0
231,292,0
231,176,0
231,293,0
231,294,0
231,295,0
231,296,0
231,297,0
231,298,0
231,299,0
231,147,0
231,300,0
231,106,0
231,212,0
231,301,0
231,123,0
231,302,0
231,303,0
231,149,0
231,274,1
231,239,1,0
231,202,1
231,304,0
231,305,1,2,0
231,306,0
231,240,0,1
231,307,0
231,150,0
231,308,0
231,309,0
231,280,1
231,310,0
231,311,0
231,312,0
231,313,0
231,314,0
231,315,0
231,284,0
231,223,2,0
211,74,2
211,208,2
211,316,0
211,317,0
211,141,2
211,318,0
211,319,0
211,142,2
211,292,0
211,176,0
211,267,2
211,100,2
211,179,2
211,147,0
211,300,0
211,320,0
211,321,2
211,322,2
211,213,2
211,323,2
211,324,0
211,109,2,0
211,164,2
211,239,3
211,304,0
211,71,2
211,325,2
211,186,2
211,326,2
211,327,0
211,328,2
211,308,0
211,219,2
211,220,2
211,151,2
211,243,2
211,329,2
211,330,0
211,311,2,0
211,72,5,1
211,331,0
211,156,2
211,332,0
211,333,2
334,74,0
334,335,0
334,336,0
334,290,5
334,131,0
334,132,0
334,133,0
334,147,0
334,337,0
334,338,0
334,339,0
334,301,0
334,340,0
334,341,0
334,342,0
334,343,0
334,344,0
334,345,0
334,346,0
334,123,0
334,347,0
334,348,0
334,349,0
334,136,0
334,350,0
141,74,2
141,227,2
141,121,0
141,39,0
141,208,2
141,316,0
141,77,2
141,289,0
141,192,2
141,142,2
141,144,2
141,176,0
141,145,0
141,351,2
141,267,2
141,100,0
141,179,2
141,12,0
141,147,0
141,300,0
141,320,0
141,352,0
141,321,0
141,322,0
141,213,2
141,70,2
141,123,0
141,324,0
141,302,0
141,303,0
141,109,0
141,164,2
141,183,0
141,353,0
141,354,0
141,306,0
141,240,2
141,203,2
141,71,2,0
141,186,2
141,328,0
141,309,0
141,220,2
141,151,2
141,243,2
141,153,2
141,329,0
141,244,2
141,311,0
141,154,0
141,155,0
141,156,0
141,355,0
141,315,0
141,333,2
141,356,0
262,74,5,6
262,172,0
262,173,0
262,75,0
262,76,0
262,174,0
262,175,0
262,176,0
262,177,0
262,178,0
262,80,0
262,179,0
262,134,0
262,180,1,0
262,181,0
262,182,0
262,62,0,5,6
262,183,0
262,184,0
262,185,0
262,63,0,5,6
262,186,0
262,65,5,6,0
262,66,0,5,6
262,187,0
262,87,0
262,67,0,5,6
262,68,5,6,0
262,188,0
142,74,2
142,227,2
142,357,4
142,208,2
142,77,2
142,290,0
142,358,4
142,143,2
142,144,2
142,359,0
142,351,2
142,267,2
142,360,0
142,179,2
142,213,2
142,164,2
142,62,2
142,361,0
142,240,2,1
142,71,0,2
142,63,2
142,64,2
142,150,0
142,65,2
142,66,2
142,151,2
142,243,2
142,153,2
142,244,2
142,67,2
142,68,2
142,313,0
142,333,2
131,74,0
131,362,0
131,363,0
131,336,0
131,364,0
131,77,0
131,177,0
131,133,0
131,365,0
131,147,0
131,366,0
131,123,0
131,347,0
131,367,0
131,368,0
131,349,0
131,369,0
131,151,0
131,153,0
131,370,0
131,244,0
131,371,0
131,350,0
131,333,0
131,372,0
131,373,0
131,374,0
144,74,2
144,227,0,2
144,255,0
144,375,0
144,376,0
144,377,0
144,209,0
144,143,2
144,378,0
144,263,0
144,292,0
144,176,0
144,145,0
144,351,0,2
144,100,0
144,146,0
144,147,0
144,300,0
144,379,0
144,212,0
144,380,0
144,324,0
144,302,0
144,381,0
144,239,0
144,240,2
144,382,0
144,308,0
144,151,2
144,383,0
144,384,0
144,153,2
144,244,2
144,311,0
144,385,0
144,386,0
351,74,2
351,129,0
351,140,0
351,143,2
351,145,0
351,100,0
351,146,0
351,147,0
351,148,0
351,149,0
351,64,2
351,150,0
351,151,2
351,152,0
351,153,2
351,154,0
351,155,0
351,156,0
351,157,0
132,74,0
132,362,0
132,363,0
132,336,0
132,364,0
132,77,0
132,177,0
132,133,0
132,365,0
132,147,0
132,366,0
132,123,0
132,347,0
132,367,0
132,368,0
132,349,0
132,369,0
132,151,0
132,153,0
132,370,0
132,244,0
132,371,0
132,350,0
132,333,0
132,372,0
132,373,0
132,374,0
387,74,0
387,159,0,1,2
387,98,0,1,2
387,160,0
387,161,2,1,0
387,162,0
387,163,0
387,44,0,2,1
387,164,0,2,1
387,165,1
387,166,0,2,1
387,167,1,2,0
387,168,0,1,2
387,169,0,1,2
387,170,5
388,74,0
388,77,0
388,200,0
389,74,0
389,390,0
389,77,0
389,109,2
389,204,2
389,220,0
391,74,4
391,392,0
391,393,0
391,24,0
391,186,0
394,74,4
394,392,0
394,393,0
394,24,0
394,186,0
395,74,0
395,232,0
395,396,0
395,4,0
395,397,0
395,301,1,0,2
395,340,0,1,2
395,341,2,1,0
395,342,2,0,1
395,343,0
395,344,0,2,1
395,345,0,2,1
395,346,0
395,89,0
301,74,0
301,159,2,1,0
301,75,0
301,98,0
301,76,0
301,4,0
301,397,0
301,80,0
301,161,0,1,2
301,365,0
301,340,0,1,2
301,341,2,1,0
301,342,1,0,2
301,343,0
301,344,2,0,1
301,345,1,2,0
301,346,0
301,164,0
301,398,0
301,166,0,2,1
301,167,1,2,0
301,215,0
301,241,1,0,2
301,71,1,0,2
301,87,0
301,72,0
301,89,0
301,284,0
301,372,0
340,74,0
340,190,0
340,232,0
340,4,0
340,397,0
340,191,0
340,161,2,1,0
340,106,0
340,341,1,0,2
340,342,0,1,2
340,343,0
340,344,2,0,1
340,345,1,0,2
340,346,0
340,214,0
340,167,2,0,1
340,215,0
340,216,0
340,217,0
340,218,0
340,221,0
340,222,0
340,89,0
341,74,0
341,399,4
341,4,0
341,397,0
341,342,0,2,1
341,343,0
341,344,1,2,0
341,345,2,0,1
341,346,0
341,214,0
341,215,0
341,216,0
341,217,0
341,218,0
341,221,0
341,222,0
341,89,0
342,74,0
342,232,0
342,4,0
342,397,0
342,400,0
342,343,0
342,344,1,0,2
342,345,2,1,0
342,346,0
342,89,0
343,74,0
343,344,0
343,345,0
343,346,0
344,74,0
344,59,2,3
344,232,0
344,4,0
344,397,0
344,9,0
344,268,2
344,345,2,1,0
344,346,0
344,109,2
344,125,2
344,401,2
344,241,0,1,2
344,71,1,0,2
344,402,2
344,126,2
344,282,2
344,403,2
344,284,2
345,74,0
345,232,0
345,4,0
345,346,0
404,74,0,3,5
404,159,0
404,246,5,0,4,3,6,2
404,247,6,3,4,5,0,2
404,161,0
404,83,5,3,0
404,44,0
404,213,0
404,249,5,0,2,3,6,4
404,250,3,5
404,251,0,6
404,252,0
404,166,0
404,167,0
404,253,0
404,244,0
404,254,4,6,3,5,0,2
405,74,5,3,0
405,159,0
405,246,0,6,4,2,5,3
405,247,3,6,4,2,5,0
405,161,0
405,83,5,3,0
405,44,0
405,213,0
405,249,6,4,5,0,3,2
405,250,5,3
405,251,6,0
405,252,0
405,166,0
405,167,0
405,253,0
405,244,0
405,406,4,0,3
405,254,6,2,5,3,0,4
272,74,6,5
272,172,0
272,173,0
272,75,0
272,76,0
272,174,0
272,175,0
272,176,0
272,177,0
272,178,0
272,80,0
272,179,0
272,134,0
272,180,0,1
272,181,0
272,182,0
272,62,0,5,6
272,183,0
272,184,0
272,185,0
272,63,5,6,0
272,186,0
272,65,6,5,0
272,66,0,6,5
272,187,0
272,87,0
272,67,0,6,5
272,68,0,6,5
272,188,0
149,74,0
149,362,0
149,357,4,3
149,159,0
149,407,3
149,246,4
149,408,3
149,409,0
149,410,0
149,161,0
149,147,3
149,163,0
149,44,0
149,213,0
149,252,4
149,84,0
149,411,0
149,85,0
149,166,0
149,167,0
149,239,3
149,71,3,0
149,412,0
149,86,0
149,169,0
149,413,0
149,414,4
62,74,5,3,2
62,255,0
62,59,0,3,1,2,5,6
62,256,5,0,1,2
62,159,3
62,229,0
62,208,2,1
62,257,0
62,258,0
62,75,6,5,2,3
62,415,5
62,98,3
62,209,5,3
62,76,5,3,6,2
62,416,5
62,259,5,3
62,260,3,5
62,261,0
62,417,5
62,192,2
62,263,1,2,0,3,5
62,264,0
62,265,5,3
62,266,0
62,267,2
62,80,5,3,2,6
62,51,0
62,104,5
62,147,0,3
62,268,6,0
62,418,5
62,419,5
62,420,0,5
62,107,3
62,212,5,3
62,200,5
62,366,5
62,421,5
62,269,1,0,2
62,270,0
62,213,0,2
62,271,1,0,2
62,70,0,3
62,123,0
62,109,2
62,164,2
62,273,1
62,165,5
62,274,5,2,3,1,0,6
62,167,3
62,240,2
62,185,0
62,275,0
62,276,0
62,277,0,5,6
62,278,0,6,5
62,203,2
62,71,0,2
62,204,5,2,0,1,6
62,279,5,3
62,63,0,5
62,422,5
62,280,1,0,2,3,5,6
62,423,0,5
62,65,0,5
62,66,5,0
62,87,6,3,5,2
62,110,0
62,281,3,5
62,311,3,0,5
62,67,0,5
62,68,0,5
62,282,0,6
62,283,3,5
62,55,5,2
62,284,3
62,374,5
62,57,2,5
424,74,0
424,425,0
424,426,0
424,427,0
424,428,0
424,429,0
424,430,0
424,431,0
274,74,1
274,432,0
274,433,0
274,59,1
274,257,0
274,434,0
274,210,1
274,435,0
274,436,0
274,437,0
274,147,0
274,270,0
274,438,0
274,204,1,2,0
274,63,3,1,2,5,0,6
274,439,0
274,65,0,6,2,1,3,5
274,66,6,2,3,1,0,5
274,67,0,3,6,2,1,5
274,68,0,6,5,3,1,2
274,440,0
274,441,0
274,157,0
274,223,1
239,74,0
239,285,0
239,59,3,2,0
239,209,0
239,233,3
239,290,0
239,358,3
239,442,0
239,100,1
239,360,0
239,298,0
239,443,3
239,161,0
239,268,3
239,106,0
239,212,0
239,444,3
239,125,0
239,361,0
239,184,0
239,305,0
239,204,2,0,1
239,126,0
239,312,0
239,282,3
239,445,0
304,74,0
304,316,0
304,317,0
304,289,0
304,446,0
304,176,0
304,69,0
304,147,0
304,320,0
304,322,0
304,324,0
304,109,0
304,369,0
304,329,0
304,447,0
304,448,0
304,449,0
304,311,0
304,138,0
240,74,2
240,285,0
240,59,0,2
240,409,0
240,77,2
240,192,0,2,1
240,290,0
240,143,2,1
240,450,0
240,360,0
240,298,0
240,451,0
240,163,0
240,366,1,2
240,452,0
240,44,0
240,453,1
240,109,2
240,164,0
240,411,0
240,454,0
240,203,0,1,2
240,71,0,2,6
240,204,1,2,0
240,63,2
240,64,2
240,428,0
240,412,0
240,65,2
240,66,2
240,151,2
240,153,2
240,244,2
240,169,0
240,312,0
240,455,0
240,67,2
240,68,2
240,313,1
240,314,0,1
240,456,0
240,457,1,2
277,74,6,5
277,172,0
277,173,0
277,75,0
277,76,0
277,174,0
277,175,0
277,176,0
277,177,0
277,178,0
277,80,0
277,179,0
277,134,0
277,180,0,1
277,181,0
277,182,0
277,183,0
277,184,0
277,185,0
277,63,6,0,5
277,186,0
277,65,0,6,5
277,66,0,6,5
277,187,0
277,87,0
277,67,6,5,0
277,68,0,6,5
277,188,0
278,74,5,6
278,172,0
278,173,0
278,75,0
278,76,0
278,174,0
278,175,0
278,176,0
278,177,0
278,178,0
278,80,0
278,179,0
278,134,0
278,180,0,1
278,181,0
278,182,0
278,183,0
278,184,0
278,185,0
278,63,0,6,5
278,186,0
278,65,5,6,0
278,66,0,5,6
278,187,0
278,87,0
278,67,5,0,6
278,68,0,5,6
278,188,0
71,74,2
71,255,0
71,159,2,0,1
71,208,2
71,407,1,0,2
71,408,1,2,0
71,257,0
71,190,2,0
71,75,0,2
71,317,0
71,76,2,0
71,41,0
71,191,2,0
71,289,0
71,192,6,1,2,3,4,0
71,458,0
71,459,0
71,69,0
71,267,2
71,100,0
71,80,2,0
71,179,2
71,161,2,0,1
71,196,0
71,14,0,4
71,15,0
71,21,0
71,460,0
71,352,0
71,107,1,0,2
71,269,2,0
71,270,0
71,213,0,2
71,271,0,2
71,53,0,3
71,214,1,2,0
71,70,2,1,0
71,323,2
71,324,0
71,302,0
71,164,1,0,2
71,252,0
71,461,0
71,462,0
71,463,0
71,273,0
71,464,0
71,166,0,2,1
71,167,2,1,0
71,215,2,1,0
71,216,2,0,1
71,454,0
71,203,4,0,1,6,2,3
71,241,1,0,2
71,204,3,1,0,2
71,63,0,2
71,325,2
71,186,2
71,326,2
71,217,1,2,0
71,218,1,2,0
71,220,2
71,65,0,2
71,66,0,2
71,151,2
71,465,0
71,243,2
71,466,0
71,87,0,2
71,467,0
71,468,0
71,67,2,0
71,68,2,0
71,72,1,0,2
71,33,0
71,355,0
71,205,0
71,170,2,0
71,221,2,0,1
71,222,0,2,1
71,206,0
71,55,1,0,2
71,333,2
71,57,2,0,1
469,74,4
469,392,0
469,393,0
469,24,0
469,186,0
136,74,0
136,362,0
136,363,0
136,336,0
136,364,0
136,77,0
136,177,0
136,133,0
136,365,0
136,147,0
136,366,0
136,123,0
136,347,0
136,367,0
136,368,0
136,349,0
136,369,0
136,151,0
136,153,0
136,370,0
136,244,0
136,371,0
136,350,0
136,333,0
136,372,0
136,373,0
136,374,0
470,74,4
470,392,0
470,393,0
470,24,0
470,186,0
63,74,3,5,2
63,255,0
63,59,6,5,2,0,3,1
63,256,5,1,0,2
63,159,3
63,229,0
63,208,1,2
63,257,0
63,258,0
63,75,6,2,5,3
63,98,3
63,76,2,3,5,6
63,259,3,5
63,260,5,3
63,261,0
63,192,2
63,263,2,1,3,0,5
63,264,0
63,265,3,5
63,266,0
63,267,2
63,80,6,3,2,5
63,51,0
63,104,5
63,268,0,6
63,107,3
63,269,1,2,0
63,270,0
63,213,2,0
63,271,0,1,2
63,70,0,3
63,123,0
63,164,2
63,273,1
63,165,5
63,167,3
63,185,0
63,275,0
63,276,0
63,203,2
63,204,1,0,6,5,2
63,279,5,3
63,280,2,1,6,3,0,5
63,66,5,0
63,87,6,2,3,5
63,281,3,5
63,282,6,0
63,283,3,5
63,55,2
63,284,3
63,57,2
428,74,0
428,159,0
428,246,0
428,409,0
428,160,0
428,247,0
428,451,0
428,44,0
428,249,0
428,252,0
428,167,0
428,471,0
428,168,0
428,169,0
428,313,0
428,314,0
428,254,0
428,456,0
472,74,4
472,392,0
472,393,0
472,24,0
472,186,0
280,74,1
280,432,0
280,433,0
280,59,1
280,257,0
280,434,0
280,210,1
280,435,0
280,436,0
280,437,0
280,147,0
280,270,0
280,438,0
280,204,1,0,2
280,439,0
280,65,3,6,5,1,2,0
280,66,0,3,6,5,1,2
280,67,1,0,2,3,6,5
280,68,6,1,0,2,5,3
280,440,0
280,441,0
280,157,0
280,223,1
65,74,5,2,3
65,255,0
65,59,3,0,1,5,2,6
65,256,5,1,0,2
65,159,3
65,229,0
65,208,2,1
65,257,0
65,258,0
65,75,6,5,3,2
65,98,3
65,76,3,6,2,5
65,259,5,3
65,260,5,3
65,261,0
65,417,5
65,192,2
65,263,0,5,2,3,1
65,264,0
65,265,3,5
65,266,0
65,267,2
