u,v,color
383,397,2,1,3,0
383,398,0,1,2,3
383,399,3,0,1,2
383,400,2,0,3,1
383,401,0,1,3,2
383,402,0,1,3,2
383,403,0,3,1,2
383,404,2,0
383,405,0
383,406,2,1,3,0
383,407,0
383,408,1,0,2,3
383,409,1,0,2,3
383,410,3,2,1,0
383,411,0,1,2,3
383,412,2,0,3,1
383,413,3
383,414,1,0,3,2
383,415,3,2,0,1
383,416,1,3,2,0
383,417,0
383,418,1
383,419,0,2,3,1
385,420,0,2
385,240,2,0
385,421,2,0
385,319,0,2,1
385,320,0,1,2
385,422,2,1,0
385,386,1,0,2
385,423,0,2
385,322,0,1,2
385,424,2,0
385,425,2,0
385,426,2,0
385,427,0,2
385,428,0,2
385,392,1,2,0
385,429,0,1,2
385,430,0,2,1
385,431,2,0,1
385,396,1,0,2
385,432,2,1,0
385,433,0,1,2
385,434,0,2
385,435,0,2
385,244,0,2
385,329,2,0
385,436,2,0
385,437,0,2
385,438,0,1,2
385,439,0,2
385,440,0,2,1
385,441,2,0
385,442,0,2
385,443,0,2
385,444,1,2,0
385,445,0,2,1
389,384,2,1,0,3
389,387,1
389,322,1,2,0,3
389,390,3,0,2,1
389,391,1,3,2,0
389,393,3,2,0,1
389,394,3,1,2,0
389,395,1,3,2,0
389,397,0,3,1,2
389,398,1,0,2,3
389,399,1,0,2,3
389,400,0,1,3,2
389,401,2,1,0,3
389,402,3,0,2,1
389,403,0,3,2,1
389,404,0,2
389,406,2,0,1,3
389,409,3,2,0,1
389,410,0,2,3,1
389,411,3,2,1,0
389,412,1,3,0,2
389,413,3
389,414,3,2,1,0
389,415,1,3,0,2
389,416,1,2,3,0
389,417,0
389,419,2,0,1,3
390,446,3
390,386,2,3
390,322,1,2,3,0
390,447,1,0
390,391,0,2,1,3
390,393,0,1,3,2
390,394,2,0,3,1
390,395,0,3,1,2
390,396,3,2
390,398,0,1,2,3
390,399,3,1,0,2
390,400,3,2,0,1
390,401,3,2,1,0
390,402,3,2,0,1
390,403,1,2,3,0
390,404,0,2
390,406,3,2,1,0
390,409,3,2,1,0
390,410,0,2,3,1
390,413,3
390,414,2,3,1,0
390,415,3,1,2,0
390,416,3,2,0,1
390,419,2,0,1,3
392,384,3,2
392,319,2,0,1
392,422,2,1,0
392,386,1,0,2
392,322,1,0,2
392,424,0,2
392,391,2,3
392,429,1,0,2
392,430,2,0,1
392,431,0,1,2
392,396,2,1,0
392,432,2,0,1
392,433,1,0,2
392,440,0,2,1
392,408,1,0,2
392,445,2,1,0
392,448,0,2
393,384,3,0,2,1
393,446,3
393,386,3,2
393,387,1
393,322,0,2,1,3
393,391,2,3,1,0
393,394,1,3,2,0
393,395,2,1,0,3
393,397,2,3,1,0
393,398,1,2,3,0
393,449,0,1
393,399,2,3,1,0
393,400,2,1,3,0
393,450,1,0
393,451,0
393,401,3,1,0,2
393,402,2,0,1,3
393,403,2,3,0,1
393,404,0,2
393,452,1,0
393,406,1,2,3,0
393,409,1,3,2,0
393,410,1,3,0,2
393,411,1,0,3,2
393,453,1
393,412,0,2,3,1
393,414,1,2,3,0
393,415,1,0,3,2
393,416,2,0,3,1
393,454,1,0
393,417,0
393,455,3,2
393,418,1
393,419,1,3,0,2
394,384,1,2,0,3
394,456,0,2,1,3
394,431,3,2
394,395,2,1,0,3
394,397,1,3,0,2
394,398,1,0,2,3
394,449,0,1
394,399,0,2,1,3
394,400,3,2,1,0
394,457,1
394,401,3,0,2,1
394,402,0,2,3,1
394,403,1,0,3,2
394,452,0,1
394,406,2,3,0,1
394,409,3,2,1,0
394,410,3,1,0,2
394,411,1,2,3,0
394,412,3,1,0,2
394,414,2,0,1,3
394,415,3,2,0,1
394,416,3,0,2,1
394,454,1,0
394,417,0
394,419,0,2,1,3
397,395,3,2,1,0
397,398,1,3,0,2
397,449,1,0
397,399,3,2,0,1
397,400,1,3,0,2
397,401,3,2,1,0
397,402,3,2,1,0
397,403,3,2,0,1
397,452,0,1
397,406,3,1,0,2
397,408,0,2,1,3
397,409,1,2,0,3
397,410,0,2,3,1
397,411,1,3,0,2
397,412,2,0,1,3
397,414,2,3,1,0
397,415,3,0,1,2
397,416,0,1,3,2
397,454,1,0
397,417,0
397,419,0,2,1,3
398,384,0,2,1,3
398,319,2,1,3,0
398,321,0
398,387,1
398,388,0,1,3,2
398,391,0,3,2,1
398,458,3,1,2,0
398,459,0
398,395,2,0,3,1
398,460,3,0,2,1
398,244,1
398,400,2,0,1,3
398,450,0,1
398,401,3,0,2,1
398,247,0
398,406,2,1,0,3
398,461,1,3,0,2
398,407,2,0,3,1
398,409,3,2,1,0
398,410,3,2,1,0
398,411,0,3,2,1
398,412,1,3,0,2
398,415,2,3,0,1
398,416,2,0,1,3
398,417,1,0,2,3
398,418,1
398,419,1,0,3,2
398,462,0,1,2,3
398,340,0
399,384,0,3,2,1
399,319,0,3,1,2
399,321,0
399,387,1
399,388,0,3,2,1
399,391,0,3,1,2
399,458,2,3,0,1
399,459,0
399,395,1,2,0,3
399,460,1,2,0,3
399,244,1
399,400,1,3,2,0
399,450,1,0
399,401,2,0,1,3
399,247,0
399,406,3,1,2,0
399,461,1,2,0,3
399,407,0,2,1,3
399,409,2,0,3,1
399,410,2,0,3,1
399,411,0,3,2,1
399,412,1,0,2,3
399,415,0,3,1,2
399,416,2,3,0,1
399,417,3,1,0,2
399,418,1
399,419,2,1,0,3
399,462,3,1,0,2
399,340,0
400,384,1,3,0,2
400,463,0
400,387,1
400,464,0
400,388,1
400,391,0,2,3,1
400,395,1,3,2,0
400,465,0
400,466,0
400,449,0,1
400,450,1,0
400,451,0
400,401,2,1,0,3
400,402,2,3,1,0
400,403,0,1,2,3
400,404,2,0,3
400,467,0,3
400,452,0,1
400,406,2,3,0,1
400,407,1
400,408,3,1,2,0
400,409,0,1,2,3
400,410,1,2,0,3
400,411,2,0,1,3
400,412,1,3,0,2
400,414,2,0,3,1
400,415,0,1,3,2
400,416,0,1,3,2
400,454,0,1
400,468,0
400,417,0
400,418,1,3
400,419,0,3,1,2
401,384,0,2,1,3
401,469,0
401,470,0
401,471,0
401,472,0
401,473,2,1,0
401,388,1,3,2,0
401,474,1,0,2
401,391,0,1,2,3
401,458,3,0,1,2
401,395,3,0,2,1
401,449,1,0
401,475,2,1,0
401,450,1,0
401,402,0,3,1,2
401,403,0,1,3,2
401,452,1,0
401,406,0,1,2,3
401,407,2,0,3,1
401,408,3,1,2,0
401,409,3,1,2,0
401,410,1,3,2,0
401,411,2,3,1,0
401,412,3,2,0,1
401,414,3,2,0,1
401,415,3,0,2,1
401,416,1,2,0,3
401,454,1,0
401,417,2,0,3,1
401,418,1
401,462,2,0,3,1
402,384,0,1,3,2
402,319,3,2,1,0
402,321,0
402,387,1
402,388,1,2,0,3
402,391,3,0,1,2
402,458,2,3,1,0
402,459,0
402,395,3,1,2,0
402,460,1,2,3,0
402,244,1
402,450,0,1
402,247,0
402,406,0,2,1,3
402,461,3,1,0,2
402,407,0,3,2,1
402,409,2,0,3,1
402,410,0,1,3,2
402,411,2,0,3,1
402,412,1,3,2,0
402,415,1,2,0,3
402,416,2,0,1,3
402,417,2,3,0,1
402,418,1
402,419,2,0,1,3
402,462,2,0,1,3
402,340,0
403,384,1,3,2,0
403,319,0,3,2,1
403,321,0
403,387,1
403,388,1,3,0,2
403,391,3,2,1,0
403,458,3,0,2,1
403,459,0
403,395,0,3,2,1
403,460,0,3,1,2
403,244,1
403,450,0,1
403,247,0
403,406,0,2,1,3
403,461,1,2,3,0
403,407,2,3,0,1
403,409,2,0,1,3
403,410,2,0,3,1
403,411,1,0,2,3
403,412,3,1,0,2
403,415,0,2,1,3
403,416,3,1,2,0
403,417,0,2,1,3
403,418,1
403,419,0,1,3,2
403,462,1,3,2,0
403,340,0
405,407,0
413,319,0
413,344,2,0
413,322,0
413,388,0
413,476,2,0
413,395,3
413,267,0,2
413,270,2,0
413,348,0,2
413,404,0
413,248,0,2
413,249,2,0
413,407,0
413,354,2,0
413,340,0
414,384,3,0,1,2
414,319,2,3,0,1
414,321,0
414,387,1
414,388,3,1,0,2
414,391,0,1,3,2
414,458,0,3,2,1
414,459,0
414,395,2,1,0,3
414,460,0,2,3,1
414,244,1
414,450,1,0
414,247,0
414,406,1,3,2,0
414,461,2,3,0,1
414,407,0,2,3,1
414,409,0,2,1,3
414,410,3,0,2,1
414,411,0,2,3,1
414,412,3,0,1,2
414,415,1,3,0,2
414,416,3,2,1,0
414,417,1,3,0,2
414,418,1
414,419,3,2,1,0
414,462,3,0,1,2
414,340,0
415,384,3,2,0,1
415,456,1,3,0,2
415,477,1
415,319,2,3,1,0
415,344,3
415,478,2,1,0
415,479,3
415,480,2,1
415,387,1
415,481,2,0,1
415,482,1
415,483,1
415,484,0,2,1
415,485,2,0,1
415,486,1
415,487,0,1,3
415,388,0
415,488,2,1
415,489,1,2
415,391,0,3,1,2
415,458,0
415,476,3
415,430,1,3,2,0
415,490,2,0,1
415,395,3,0,1,2
415,433,1,2,3,0
415,491,1,0,2
415,492,0
415,348,3
415,449,1,0,2
415,493,1
415,451,0
415,494,1
415,495,1
415,496,1
415,404,2,0
415,440,3,0,1,2
415,467,0
415,452,1,0,2
415,406,3,1,0,2
415,461,0,3,1,2
415,407,0
415,408,3,1,2,0
415,409,3,1,0,2
415,410,2,1,3,0
415,411,2,0,3,1
415,497,1
415,412,0,1,2,3
415,416,0,3,1,2
415,454,1,0,2
415,498,2,1
415,354,3
415,499,1
415,417,0
415,418,1
415,419,0,1,3,2
415,500,1
415,501,1
415,502,1,2
415,503,1
415,445,3,1,0,2
415,504,1,2
415,505,2,1
415,506,1
417,507,0,3,1,2
417,384,0
417,508,0,3,2,1
417,509,3,2,1,0
417,510,0
417,511,0
417,512,0
417,513,0,2,1,3
417,514,0
417,479,1,2,0
417,515,2,0,3,1
417,516,0,2,1,3
417,517,1,0,2,3
417,518,3,1,2,0
417,519,0
417,483,2,3,1,0
417,520,1,0
417,447,1,0
417,388,0,1,2,3
417,521,1,3,2,0
417,522,0
417,523,3,1,2,0
417,391,0
417,458,0,3,2,1
417,524,1,0
417,525,0,1
417,526,1,2,3,0
417,395,0
417,527,0,3,2,1
417,528,0
417,529,0
417,530,0
417,531,2,3,1,0
417,532,0,1,2,3
417,449,0,1
417,533,0,1
417,450,5,0,1
417,534,0,3,2,1
417,535,3,1,2,0
417,536,1,0
417,537,0
417,538,0
417,539,0
417,540,0,1
417,541,0
417,542,2,0,3,1
417,543,0,2,1,3
417,404,3
417,544,0,1
417,467,3
417,545,0,1
417,546,0,1
417,452,1,0
417,406,0,3,2,1
417,547,2,3,1,0
417,407,0,1,2,3
417,548,2,1,0,3
417,409,2,1,0,3
417,410,0
417,411,2,3,0,1
417,412,3,2,0,1
417,416,2,3,1,0
417,454,0,1
417,549,1,2,3,0
417,550,0,1
417,551,3,0,1,2
417,552,2,3,0,1
417,553,0
417,418,1,3
417,419,0,1,3,2
417,554,1,0
417,462,0,1,3,2
417,555,0
417,556,0
417,557,1,0
417,558,0
417,559,1,2,0,3
417,560,0,1
417,561,2,0,3,1
417,562,0,1
417,563,0,1,2,3
419,384,0,2,1,3
419,469,0
419,470,0
419,471,0
419,472,0
419,473,1,2,0
419,388,3,2,0,1
419,474,2,1,0
419,391,0,3,2,1
419,458,0,1,2,3
419,395,1,2,3,0
419,449,1,0
419,475,1,2,0
419,450,1,0
419,452,0,1
419,406,1,2,0,3
419,407,1,3,2,0
419,408,1,0,2,3
419,409,0,3,2,1
419,410,1,3,2,0
419,411,3,2,0,1
419,412,2,1,0,3
419,416,3,0,2,1
419,454,0,1
419,418,1
419,462,2,0,3,1
564,565,0
564,566,0
564,567,0
564,568,0
564,569,0
564,570,0
564,571,0
564,572,0
564,573,0
564,574,0
564,575,0
564,576,0
564,577,0
564,578,0
